application,screen,control,status,assertion,evidence
"Customer","Onboarding","Skip","PASS","Skip reaches login; first Next changes onboarding panel. Animation timing is not certified.","2026-09-13T15-52-45-611Z/customer-02-onboarding-two.json; 2026-09-13T16-09-59-533Z/results.json"
"Customer","Onboarding","Next","PASS","Skip reaches login; first Next changes onboarding panel. Animation timing is not certified.","2026-09-13T15-52-45-611Z/customer-02-onboarding-two.json; 2026-09-13T16-09-59-533Z/results.json"
"Customer","Login","Email field","PASS","Fields accept entered text; password type masks entry. Does not certify all validators.","2026-09-13T15-55-49-652Z/customer-login.json"
"Customer","Login","Password field","PASS","Fields accept entered text; password type masks entry. Does not certify all validators.","2026-09-13T15-55-49-652Z/customer-login.json"
"Customer","Login","Login button","FAIL","Blank validation works, but authenticated submission fails intended-backend CORS.","2026-09-13T15-55-49-652Z/customer-login.json"
"Customer","Login","Back arrow","FAIL","Inert root back arrow; Google exposes missing configuration.","2026-09-13T16-05-36-434Z/customer-actions.json; 2026-09-13T16-00-43-794Z/customer-actions.json"
"Customer","Login","Continue with Google","FAIL","Inert root back arrow; Google exposes missing configuration.","2026-09-13T16-05-36-434Z/customer-actions.json; 2026-09-13T16-00-43-794Z/customer-actions.json"
"Customer","Login","Create Account link","PASS","Opens registration.","2026-09-13T16-05-36-434Z/customer-actions.json"
"Customer","Registration","Full name","PASS","Field entry performed in validation probes; full validator behavior not implied.","2026-09-13T16-05-36-434Z/customer-actions.json; 2026-09-13T16-09-59-533Z/results.json"
"Customer","Registration","Email","PASS","Field entry performed in validation probes; full validator behavior not implied.","2026-09-13T16-05-36-434Z/customer-actions.json; 2026-09-13T16-09-59-533Z/results.json"
"Customer","Registration","Mobile number","PASS","Field entry performed in validation probes; full validator behavior not implied.","2026-09-13T16-05-36-434Z/customer-actions.json; 2026-09-13T16-09-59-533Z/results.json"
"Customer","Registration","Password","PASS","Field entry performed in validation probes; full validator behavior not implied.","2026-09-13T16-05-36-434Z/customer-actions.json; 2026-09-13T16-09-59-533Z/results.json"
"Customer","Registration","Confirm password","PASS","Field entry performed in validation probes; full validator behavior not implied.","2026-09-13T16-05-36-434Z/customer-actions.json; 2026-09-13T16-09-59-533Z/results.json"
"Customer","Registration","Create Account submit","BLOCKED","Required-field validation exercised; actual registration cannot complete through CORS.","2026-09-13T16-00-43-794Z/customer-actions.json"
"Customer","Registration","Back arrow","PASS","Returns to login.","2026-09-13T16-05-36-434Z/customer-actions.json; 2026-09-13T16-09-59-533Z/results.json"
"Customer","Registration","Already have an account? Login","PASS","Returns to login.","2026-09-13T16-05-36-434Z/customer-actions.json; 2026-09-13T16-09-59-533Z/results.json"
"Plumber","Login","Mobile tab","FAIL","Pointer switching works; expected tab role and selected state missing.","2026-09-13T16-02-47-798Z/plumber-05-login.json"
"Plumber","Login","Email tab","FAIL","Pointer switching works; expected tab role and selected state missing.","2026-09-13T16-02-47-798Z/plumber-05-login.json"
"Plumber","Login","Mobile input","PASS","Text entry and keyboard focus exercised. Empty/invalid feedback is a separate failed assertion.","2026-09-13T16-02-47-798Z/plumber-actions.json"
"Plumber","Login","Email input","PASS","Text entry and keyboard focus exercised. Empty/invalid feedback is a separate failed assertion.","2026-09-13T16-02-47-798Z/plumber-actions.json"
"Plumber","Login","Password input","PASS","Text entry and keyboard focus exercised. Empty/invalid feedback is a separate failed assertion.","2026-09-13T16-02-47-798Z/plumber-actions.json"
"Plumber","Login","Remember me","FAIL","Visual on/off works; checkbox role and checked state missing. Authenticated persistence blocked.","2026-09-13T16-02-47-798Z/plumber-actions.json"
"Plumber","Login","Continue","FAIL","Continue email target retired; validation/recovery/social feedback missing.","2026-09-13T16-02-47-798Z/plumber-actions.json; 2026-09-13T15-55-49-652Z/plumber-login.json"
