application,module,testCases,pass,fail,blocked,notTested,notApplicable
"Customer","Authentication","29","13","3","10","1","2"
"Customer","Registration","8","0","0","8","0","0"
"Customer","Home","13","0","0","13","0","0"
"Customer","Catalog","15","0","0","15","0","0"
"Customer","Cart","15","0","0","15","0","0"
"Customer","Addresses","12","0","0","12","0","0"
"Customer","Checkout","10","0","0","9","0","1"
"Customer","Service request","10","0","0","10","0","0"
"Customer","Order tracking/completion","14","0","0","14","0","0"
"Customer","Profile/support","7","0","0","7","0","0"
"Plumber","Authentication","31","6","9","15","0","1"
"Plumber","Dashboard","8","0","0","8","0","0"
"Plumber","Jobs","14","0","0","14","0","0"
"Plumber","Store selection","5","0","0","5","0","0"
"Plumber","Materials","13","0","0","13","0","0"
"Plumber","Collection/completion","8","0","0","8","0","0"
"Plumber","Earnings/wallet","6","0","0","6","0","0"
"Plumber","Profile/photos/chat","9","0","0","9","0","0"
"Plumber","Delivery","1","0","0","0","0","1"
"Store","Authentication","20","3","4","12","0","1"
"Store","Dashboard","7","0","0","7","0","0"
"Store","Inventory","14","0","0","14","0","0"
"Store","Materials","11","0","0","11","0","0"
"Store","Product orders","7","0","0","7","0","0"
"Store","Profile/business","12","0","0","12","0","0"
"Admin","Public authentication","3","3","0","0","0","0"
"Admin","Deployment/authentication","2","0","2","0","0","0"
"Admin","Modules","17","0","0","17","0","0"
"Admin","ADMIN","10","0","0","10","0","0"
"Admin","SUPER_ADMIN","10","0","0","10","0","0"
"Admin","OPERATIONS_ADMIN","10","0","0","10","0","0"
"Admin","PLUMBER_MANAGER","10","0","0","10","0","0"
"Admin","FINANCE_ADMIN","10","0","0","10","0","0"
"Admin","SUPPORT_ADMIN","10","0","0","10","0","0"
"Admin","MARKETING_ADMIN","10","0","0","10","0","0"
"Integration","Full service lifecycle","18","0","0","18","0","0"
"Integration","Persistence","6","0","0","6","0","0"
"Integration","Duplicates/business rules","10","0","0","10","0","0"
"Integration","Error handling","8","0","0","8","0","0"
"Backend/API","Health","3","3","0","0","0","0"
"Backend/API","Public API","11","11","0","0","0","0"
"Backend/API","Catalog","4","4","0","0","0","0"
"Backend/API","Public/auth API","5","5","0","0","0","0"
"Backend/API","QA authentication","4","0","0","4","0","0"
"Backend/API","Authenticated contracts","11","0","0","11","0","0"
"Backend/API","Performance","1","1","0","0","0","0"
"Security","Anonymous authorization","14","14","0","0","0","0"
"Security","CORS","5","1","4","0","0","0"
"Security","Safe input probes","6","6","0","0","0","0"
"Security","Authenticated authorization","14","0","0","14","0","0"
"Security","Session","13","0","0","13","0","0"
"Security","Stored/reflected input","9","0","0","9","0","0"
"Security","Abuse controls","4","0","0","0","4","0"
"Security","Transport/headers","4","3","0","0","1","0"
"Accessibility","Customer login","1","1","0","0","0","0"
"Accessibility","Customer registration","1","1","0","0","0","0"
"Accessibility","Plumber login","1","0","1","0","0","0"
"Accessibility","Plumber registration","1","0","1","0","0","0"
"Accessibility","Plumber otp","1","0","1","0","0","0"
"Accessibility","Store login","1","1","0","0","0","0"
"Accessibility","Store registration","1","0","1","0","0","0"
"Accessibility","Admin login","1","1","0","0","0","0"
"Accessibility","Keyboard/semantics","10","1","3","0","6","0"
"Accessibility","Reduced motion","1","1","0","0","0","0"
"Accessibility","Authenticated screens","7","0","0","7","0","0"
"Responsive","Customer login","8","8","0","0","0","0"
"Responsive","Customer registration","8","8","0","0","0","0"
"Responsive","Plumber login","8","8","0","0","0","0"
"Responsive","Plumber registration","8","8","0","0","0","0"
"Responsive","Plumber otp","8","8","0","0","0","0"
"Responsive","Store login","8","8","0","0","0","0"
"Responsive","Store registration","8","8","0","0","0","0"
"Responsive","Admin login","8","8","0","0","0","0"
"Responsive","Authenticated major screens","8","0","0","8","0","0"
"Responsive","Chrome zoom","5","0","0","0","5","0"
"Responsive","Additional public screens","2","0","0","0","2","0"
