application,screenEvidence,tag,role,label,text,placeholder,basis,coverage
"admin","2026-09-13T15-52-45-611Z/admin-01-landing.json","INPUT","","","","admin@plumbcommerce.com","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"admin","2026-09-13T15-52-45-611Z/admin-01-landing.json","INPUT","","","","Password","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"admin","2026-09-13T15-52-45-611Z/admin-01-landing.json","BUTTON","","","Sign in","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"admin","2026-09-13T15-52-45-611Z/admin-01-landing.json","DIV","alert","","","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"customer","2026-09-13T15-52-45-611Z/customer-01-landing.json","BUTTON","button","Skip onboarding","Skip","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"customer","2026-09-13T15-52-45-611Z/customer-01-landing.json","BUTTON","button","Next","Next","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"customer","2026-09-13T15-52-45-611Z/customer-02-onboarding-two.json","BUTTON","button","Skip onboarding","Skip","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"customer","2026-09-13T15-52-45-611Z/customer-02-onboarding-two.json","BUTTON","button","Next","Next","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"customer","2026-09-13T15-52-45-611Z/customer-03-onboarding-three.json","BUTTON","button","Skip onboarding","Skip","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"customer","2026-09-13T15-52-45-611Z/customer-03-onboarding-three.json","BUTTON","button","Next","Next","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"customer","2026-09-13T15-52-45-611Z/customer-04-registration.json","DIV","","","←","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"customer","2026-09-13T15-52-45-611Z/customer-04-registration.json","INPUT","","","","Enter email","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"customer","2026-09-13T15-52-45-611Z/customer-04-registration.json","INPUT","","","","Enter password","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"customer","2026-09-13T15-52-45-611Z/customer-04-registration.json","BUTTON","button","Login","Login","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"customer","2026-09-13T15-52-45-611Z/customer-04-registration.json","DIV","","","Create Account","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"customer","2026-09-13T15-52-45-611Z/customer-04-registration.json","BUTTON","button","Continue with Google","Continue with Google","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T15-52-45-611Z/plumber-01-landing.json","DIV","","","Mobile","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T15-52-45-611Z/plumber-01-landing.json","DIV","","","Email","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T15-52-45-611Z/plumber-01-landing.json","INPUT","","","","Enter mobile number","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T15-52-45-611Z/plumber-01-landing.json","DIV","","","Remember me","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T15-52-45-611Z/plumber-01-landing.json","DIV","","","Forgot Password?","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T15-52-45-611Z/plumber-01-landing.json","BUTTON","button","Continue","Continue","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T15-52-45-611Z/plumber-01-landing.json","DIV","","","G
Google","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T15-52-45-611Z/plumber-01-landing.json","DIV","","","f
Facebook","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T15-52-45-611Z/plumber-02-email-login.json","DIV","","","Mobile","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T15-52-45-611Z/plumber-02-email-login.json","DIV","","","Email","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T15-52-45-611Z/plumber-02-email-login.json","INPUT","","","","plumber@plumbcommerce.com","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T15-52-45-611Z/plumber-02-email-login.json","INPUT","","","","********","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T15-52-45-611Z/plumber-02-email-login.json","DIV","","","Remember me","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T15-52-45-611Z/plumber-02-email-login.json","DIV","","","Forgot Password?","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T15-52-45-611Z/plumber-02-email-login.json","BUTTON","button","Continue","Continue","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T15-52-45-611Z/plumber-02-email-login.json","DIV","","","G
Google","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T15-52-45-611Z/plumber-02-email-login.json","DIV","","","f
Facebook","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"store","2026-09-13T15-52-45-611Z/store-01-landing.json","INPUT","","","","store@plumbcommerce.com","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"store","2026-09-13T15-52-45-611Z/store-01-landing.json","INPUT","","","","••••••••","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"store","2026-09-13T15-52-45-611Z/store-01-landing.json","DIV","","","Remember me","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"store","2026-09-13T15-52-45-611Z/store-01-landing.json","DIV","","","Forgot Password?","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"store","2026-09-13T15-52-45-611Z/store-01-landing.json","BUTTON","button","Log In","Log In","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"store","2026-09-13T15-52-45-611Z/store-01-landing.json","DIV","","","Register Store","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"store","2026-09-13T15-52-45-611Z/store-02-registration.json","INPUT","","","","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"store","2026-09-13T15-52-45-611Z/store-02-registration.json","INPUT","","","","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"store","2026-09-13T15-52-45-611Z/store-02-registration.json","INPUT","","","","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"store","2026-09-13T15-52-45-611Z/store-02-registration.json","INPUT","","","","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"store","2026-09-13T15-52-45-611Z/store-02-registration.json","INPUT","","","","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"store","2026-09-13T15-52-45-611Z/store-02-registration.json","INPUT","","","","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"store","2026-09-13T15-52-45-611Z/store-02-registration.json","INPUT","","","","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"store","2026-09-13T15-52-45-611Z/store-02-registration.json","INPUT","","","","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"store","2026-09-13T15-52-45-611Z/store-02-registration.json","INPUT","","","","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"store","2026-09-13T15-52-45-611Z/store-02-registration.json","BUTTON","button","Create Store Account","Create Store Account","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
