file,basis,status,reason
"customer-app/src/screens/auth/LoginScreen.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"customer-app/src/screens/auth/OtpScreen.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"customer-app/src/screens/auth/SplashScreen.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"customer-app/src/screens/cart/CartScreen.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"customer-app/src/screens/catalog/ProductDetailScreen.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"customer-app/src/screens/catalog/SearchScreen.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"customer-app/src/screens/catalog/ServiceDetailScreen.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"customer-app/src/screens/checkout/CheckoutScreen.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"customer-app/src/screens/checkout/PaymentSuccessScreen.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"customer-app/src/screens/home/HomeScreen.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"customer-app/src/screens/orders/OrdersScreen.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"customer-app/src/screens/orders/OrderTrackingScreen.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"customer-app/src/screens/profile/ProfileScreen.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"customer-app/src/screens/profile/SavedAddressesScreen.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"customer-app/src/screens/support/SupportChatScreen.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"plumber-app/src/screens/auth/LoginScreen.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"plumber-app/src/screens/auth/OtpScreen.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"plumber-app/src/screens/auth/RegisterScreen.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"plumber-app/src/screens/auth/SplashScreen.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"plumber-app/src/screens/business/EarningsScreen.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"plumber-app/src/screens/business/JobHistoryScreen.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"plumber-app/src/screens/business/WalletScreen.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"plumber-app/src/screens/ChatScreen.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"plumber-app/src/screens/completion/CompleteServiceScreen.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"plumber-app/src/screens/dashboard/DashboardScreen.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"plumber-app/src/screens/jobs/ActiveJobScreen.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"plumber-app/src/screens/jobs/IncomingJobRequestScreen.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"plumber-app/src/screens/jobs/JobsScreen.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"plumber-app/src/screens/jobs/NavigationScreen.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"plumber-app/src/screens/jobs/ReachedCustomerScreen.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"plumber-app/src/screens/jobs/StartWorkScreen.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"plumber-app/src/screens/materials/MaterialApprovalStatusScreen.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"plumber-app/src/screens/materials/MaterialRequestScreen.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"plumber-app/src/screens/materials/MaterialsScreen.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"plumber-app/src/screens/materials/MaterialTrackingScreen.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"plumber-app/src/screens/materials/StoreSelectionScreen.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"plumber-app/src/screens/photos/AfterPhotosScreen.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"plumber-app/src/screens/photos/BeforePhotosScreen.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"plumber-app/src/screens/profile/DrawerMenuScreen.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"plumber-app/src/screens/profile/ProfileScreen.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"store-app/src/screens/analytics/SalesAnalyticsScreen.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"store-app/src/screens/analytics/WeeklySummaryScreen.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"store-app/src/screens/auth/LoginScreen.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"store-app/src/screens/auth/LoginScreenNew.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"store-app/src/screens/auth/RegisterScreen.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"store-app/src/screens/auth/SplashScreen.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"store-app/src/screens/dashboard/DashboardScreen.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"store-app/src/screens/dispatch/DispatchAssignmentScreen.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"store-app/src/screens/inventory/AddProductScreen.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"store-app/src/screens/inventory/InventoryScreen.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"store-app/src/screens/inventory/LowStockAlertScreen.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
"store-app/src/screens/inventory/ProductDetailsScreen.tsx","source inventory at 618a818; deployed clients differ","BLOCKED","Source presence does not certify runtime reachability or function; public runtime inventory is separate"
