"Application","Screen","Rule","Impact","Nodes","Evidence"
"plumber","login","aria-required-attr","critical","1","logs/accessibility-continuation.json"
"plumber","login","aria-required-parent","critical","2","logs/accessibility-continuation.json"
"plumber","login","color-contrast","serious","1","logs/accessibility-continuation.json"
"plumber","empty-validation","aria-required-attr","critical","1","logs/accessibility-continuation.json"
"plumber","empty-validation","aria-required-parent","critical","2","logs/accessibility-continuation.json"
"plumber","empty-validation","color-contrast","serious","1","logs/accessibility-continuation.json"
"plumber","forgot","aria-required-attr","critical","1","logs/accessibility-continuation.json"
"plumber","forgot","aria-required-parent","critical","2","logs/accessibility-continuation.json"
"plumber","forgot","color-contrast","serious","1","logs/accessibility-continuation.json"
"plumber","registration","aria-required-attr","critical","1","logs/public-focused-recovery.json"
"plumber","registration","aria-required-parent","critical","2","logs/public-focused-recovery.json"
"plumber","registration","color-contrast","serious","1","logs/public-focused-recovery.json"
"store","registration","label","critical","9","logs/public-focused-recovery.json"
"store","authenticated","aria-hidden-focus","serious","1","logs/accessibility-continuation.json"
"store","authenticated","color-contrast","serious","8","logs/accessibility-continuation.json"
"plumber","empty-login","aria-required-attr","critical","1","logs/accessibility-continuation.json"
"plumber","empty-login","aria-required-parent","critical","2","logs/accessibility-continuation.json"
"plumber","empty-login","color-contrast","serious","1","logs/accessibility-continuation.json"
"plumber","forgot-password","aria-required-attr","critical","1","logs/accessibility-continuation.json"
"plumber","forgot-password","aria-required-parent","critical","2","logs/accessibility-continuation.json"
"plumber","forgot-password","color-contrast","serious","1","logs/accessibility-continuation.json"
"plumber","google","aria-required-attr","critical","1","logs/accessibility-continuation.json"
"plumber","google","aria-required-parent","critical","2","logs/accessibility-continuation.json"
"plumber","google","color-contrast","serious","1","logs/accessibility-continuation.json"
"plumber","facebook","aria-required-attr","critical","1","logs/accessibility-continuation.json"
"plumber","facebook","aria-required-parent","critical","2","logs/accessibility-continuation.json"
"plumber","facebook","color-contrast","serious","1","logs/accessibility-continuation.json"
"plumber","otp","color-contrast","serious","1","logs/public-focused-recovery.json"
"plumber","otp","label","critical","6","logs/public-focused-recovery.json"
"store","registration","label","critical","9","logs/public-focused-recovery.json"
