"File","Type","Size","Timestamp","Classification"
"../../.vscode/settings.json",".json","55","2026-08-13T12:05:43.446Z","HISTORICAL EVIDENCE"
"../../e2e-evidence/development-2-live/FIXKART-E2E-20260811180603/logs/results.json",".json","850","2026-08-11T18:06:26.263Z","HISTORICAL EVIDENCE"
"../../e2e-evidence/development-2-live/FIXKART-E2E-20260811180603/screenshots/01-onboarding.png",".png","20145","2026-08-11T18:06:09.613Z","HISTORICAL EVIDENCE"
"../../e2e-evidence/development-2-live/FIXKART-E2E-20260811180603/screenshots/02-skip-login.png",".png","29764","2026-08-11T18:06:10.664Z","HISTORICAL EVIDENCE"
"../../e2e-evidence/development-2-live/FIXKART-E2E-20260811180603/screenshots/03-reload-login.png",".png","29764","2026-08-11T18:06:12.682Z","HISTORICAL EVIDENCE"
"../../e2e-evidence/development-2-live/FIXKART-E2E-20260811180603/screenshots/04-final-next-login.png",".png","29764","2026-08-11T18:06:17.899Z","HISTORICAL EVIDENCE"
"../../e2e-evidence/development-2-live/FIXKART-E2E-20260811180603/screenshots/05-store-login.png",".png","28940","2026-08-11T18:06:19.899Z","HISTORICAL EVIDENCE"
"../../e2e-evidence/development-2-live/FIXKART-E2E-20260811180603/screenshots/06-store-404-capture.png",".png","28940","2026-08-11T18:07:00.068Z","HISTORICAL EVIDENCE"
"../../e2e-evidence/development-2-live/FIXKART-E2E-20260811180603/traces/customer-next.zip",".zip","1396169","2026-08-11T18:06:20.789Z","HISTORICAL EVIDENCE"
"../../e2e-evidence/development-2-live/FIXKART-E2E-20260811180603/traces/customer.zip",".zip","946807","2026-08-11T18:06:20.296Z","HISTORICAL EVIDENCE"
"../../e2e-evidence/development-2-live/FIXKART-E2E-20260811180603/traces/store.zip",".zip","139585","2026-08-11T18:06:20.358Z","HISTORICAL EVIDENCE"
"../../e2e-evidence/development-2-live/FIXKART-E2E-20260811180603/VALIDATION_REPORT.md",".md","1439","2026-08-11T18:07:23.975Z","HISTORICAL EVIDENCE"
"../../e2e-evidence/development-2-live/FIXKART_LIVE_FRONTEND_CERTIFICATION.md",".md","3736","2026-08-11T17:59:03.926Z","HISTORICAL EVIDENCE"
"../../e2e-evidence/development-2-live/logs/customer-landing-controls.json",".json","132","2026-08-11T17:54:37.732Z","HISTORICAL EVIDENCE"
"../../e2e-evidence/development-2-live/logs/customer-registration-controls.json",".json","176","2026-08-11T17:57:38.567Z","HISTORICAL EVIDENCE"
"../../e2e-evidence/development-2-live/logs/run.json",".json","1974","2026-08-11T18:03:46.188Z","HISTORICAL EVIDENCE"
"../../e2e-evidence/development-2-live/logs/runner-error.log",".log","0","2026-08-11T17:57:30.059Z","HISTORICAL EVIDENCE"
"../../e2e-evidence/development-2-live/logs/runner-output.log",".log","1468","2026-08-11T17:57:38.569Z","HISTORICAL EVIDENCE"
"../../e2e-evidence/development-2-live/screenshots/000-customer-landing.png",".png","16113","2026-08-11T17:57:34.022Z","HISTORICAL EVIDENCE"
"../../e2e-evidence/development-2-live/screenshots/000-plumber-landing.png",".png","24786","2026-08-11T17:57:35.879Z","HISTORICAL EVIDENCE"
"../../e2e-evidence/development-2-live/screenshots/000-store-landing.png",".png","28940","2026-08-11T17:57:38.275Z","HISTORICAL EVIDENCE"
