"Application","type","text"
"customer","warning","""shadow*"" style props are deprecated. Use ""boxShadow""."
"customer","warning","TouchableWithoutFeedback is deprecated. Please use Pressable."
"customer","warning","props.pointerEvents is deprecated. Use style.pointerEvents"
"customer","error","Access to fetch at 'https://fixkart-dev2-backend.onrender.com/api/v1/auth/send-otp' from origin 'http://localhost:8082' has been blocked by CORS policy: Response to preflight request doesn't pass access control check: No 'Access-Control-Allow-Origin' header is present on the requested resource."
"customer","error","Failed to load resource: net::ERR_FAILED"
"customer","warning","""shadow*"" style props are deprecated. Use ""boxShadow""."
"customer","warning","TouchableWithoutFeedback is deprecated. Please use Pressable."
"customer","warning","props.pointerEvents is deprecated. Use style.pointerEvents"
"customer","error","Failed to load resource: the server responded with a status of 400 ()"
"customer","warning","Backend categories fetch failed, using fallback categories: ApiError: Request timed out. The server might be waking up.
    at fetchWithTimeout (http://localhost:8082/node_modules%5Cexpo%5CAppEntry.bundle?platform=web&dev=true&hot=false&lazy=true&transform.engine=hermes&transform.routerRoot=app:51045:15)
    at async request (http://localhost:8082/node_modules%5Cexpo%5CAppEntry.bundle?platform=web&dev=true&hot=false&lazy=true&transform.engine=hermes&transform.routerRoot=app:51065:18)
    at async CatalogService.getCategories (http://localhost:8082/node_modules%5Cexpo%5CAppEntry.bundle?platform=web&dev=true&hot=false&lazy=true&transform.engine=hermes&transform.routerRoot=app:60897:22)
    at async Promise.all (index 0)
    at async loadCatalog (http://localhost:8082/node_modules%5Cexpo%5CAppEntry.bundle?platform=web&dev=true&hot=false&lazy=true&transform.engine=hermes&transform.routerRoot=app:58912:39)"
