"id","app","feature","status","detail","evidence","time"
"LOCAL-SMOKE-customer","customer","Chrome loads current local app","PASS","http://localhost:8082/","logs/runtime-assertions-continuation.json","2026-09-14T08:05:02.617Z"
"LOCAL-SMOKE-plumber","plumber","Chrome loads current local app","PASS","http://localhost:8083/","logs/runtime-assertions-continuation.json","2026-09-14T08:05:13.039Z"
"LOCAL-SMOKE-store","store","Chrome loads current local app","PASS","http://localhost:8084/","logs/runtime-assertions-continuation.json","2026-09-14T08:05:26.081Z"
"LOCAL-SMOKE-admin","admin","Chrome loads current local app","PASS","http://localhost:3001/","logs/runtime-assertions-continuation.json","2026-09-14T08:05:31.365Z"
"AUTH-CUSTOMER","Backend","CUSTOMER real password login","FAIL","HTTP 401","logs/runtime-assertions-continuation.json","2026-09-14T08:07:17.218Z"
"AUTH-CUSTOMER2","Backend","CUSTOMER2 real password login","FAIL","HTTP 401","logs/runtime-assertions-continuation.json","2026-09-14T08:07:17.278Z"
"AUTH-PLUMBER","Backend","PLUMBER real password login","FAIL","HTTP 401","logs/runtime-assertions-continuation.json","2026-09-14T08:07:17.319Z"
"AUTH-PLUMBER2","Backend","PLUMBER2 real password login","FAIL","HTTP 401","logs/runtime-assertions-continuation.json","2026-09-14T08:07:17.346Z"
"AUTH-STORE_MANAGER","Backend","STORE_MANAGER real password login","FAIL","HTTP 401","logs/runtime-assertions-continuation.json","2026-09-14T08:07:17.388Z"
"AUTH-SUPER_ADMIN","Backend","SUPER_ADMIN real password login","PASS","HTTP 200","logs/runtime-assertions-continuation.json","2026-09-14T08:07:18.168Z"
"AUTH-OPERATIONS_ADMIN","Backend","OPERATIONS_ADMIN real password login","PASS","HTTP 200","logs/runtime-assertions-continuation.json","2026-09-14T08:07:24.055Z"
"AUTH-FINANCE_ADMIN","Backend","FINANCE_ADMIN real password login","PASS","HTTP 200","logs/runtime-assertions-continuation.json","2026-09-14T08:07:24.305Z"
"AUTH-SUPPORT_ADMIN","Backend","SUPPORT_ADMIN real password login","PASS","HTTP 200","logs/runtime-assertions-continuation.json","2026-09-14T08:07:24.533Z"
"AUTH-PLUMBER_MANAGER","Backend","PLUMBER_MANAGER real password login","PASS","HTTP 200","logs/runtime-assertions-continuation.json","2026-09-14T08:07:24.777Z"
"AUTH-MARKETING_ADMIN","Backend","MARKETING_ADMIN real password login","PASS","HTTP 200","logs/runtime-assertions-continuation.json","2026-09-14T08:07:25.003Z"
"AUTH-READY-CUSTOMER","Backend","CUSTOMER login after seed completion","PASS","HTTP 200","logs/runtime-assertions-continuation.json","2026-09-14T08:10:02.071Z"
"AUTH-READY-CUSTOMER2","Backend","CUSTOMER2 login after seed completion","PASS","HTTP 200","logs/runtime-assertions-continuation.json","2026-09-14T08:10:02.713Z"
"AUTH-READY-PLUMBER","Backend","PLUMBER login after seed completion","PASS","HTTP 200","logs/runtime-assertions-continuation.json","2026-09-14T08:10:04.276Z"
