"Application","method","url","failure"
"customer","POST","https://fixkart-dev2-backend.onrender.com/api/v1/auth/send-otp","net::ERR_FAILED"
"customer","POST","http://localhost:8081/api/v1/auth/send-otp",""
"customer","GET","http://localhost:8081/api/v1/catalog/categories","net::ERR_ABORTED"
"customer","GET","http://localhost:8081/api/v1/catalog/products","net::ERR_ABORTED"
"customer","GET","http://localhost:8081/api/v1/catalog/products","net::ERR_ABORTED"
"plumber","GET","http://localhost:8081/api/v1/orders/2","net::ERR_CONNECTION_RESET"
"plumber","GET","http://localhost:8081/api/v1/stores","net::ERR_CONNECTION_RESET"
"store","GET","http://localhost:8081/api/v1/stores/me/inventory","net::ERR_CONNECTION_RESET"
"admin","POST","http://localhost:8081/api/v1/auth/login","net::ERR_CONNECTION_RESET"
"admin","POST","http://localhost:8081/api/v1/auth/login","net::ERR_CONNECTION_RESET"
"admin","GET","http://localhost:8081/health/live","net::ERR_ABORTED"
"admin","GET","http://127.0.0.1:8081/health/live","net::ERR_ABORTED"
"admin","GET","http://localhost:3001/users/12","net::ERR_ABORTED"
"admin","GET","http://localhost:3001/users/13","net::ERR_ABORTED"
"admin","GET","http://localhost:3001/users/14","net::ERR_ABORTED"
"admin","GET","http://localhost:3001/users/15","net::ERR_ABORTED"
"admin","GET","http://localhost:3001/users/12","net::ERR_ABORTED"
"admin","GET","http://localhost:3001/users/13","net::ERR_ABORTED"
"admin","GET","http://localhost:3001/users/15","net::ERR_ABORTED"
"admin","GET","http://localhost:3001/users/14","net::ERR_ABORTED"
"admin","GET","http://localhost:3001/operations/orders/1","net::ERR_ABORTED"
"admin","GET","http://localhost:3001/operations/orders/1","net::ERR_ABORTED"
"admin","GET","http://localhost:3001/operations/service-jobs/1","net::ERR_ABORTED"
"admin","GET","http://localhost:3001/operations/service-jobs/2","net::ERR_ABORTED"
"admin","GET","http://localhost:3001/operations/service-jobs/1","net::ERR_ABORTED"
"admin","GET","http://localhost:3001/operations/service-jobs/2","net::ERR_ABORTED"
"admin","GET","http://localhost:3001/operations/service-jobs/1","net::ERR_ABORTED"
"admin","GET","http://localhost:3001/operations/service-jobs/2","net::ERR_ABORTED"
"admin","GET","http://localhost:3001/operations/service-jobs/1","net::ERR_ABORTED"
"admin","GET","http://localhost:3001/operations/service-jobs/2","net::ERR_ABORTED"
"admin","GET","http://localhost:3001/finance/payments/PO-1","net::ERR_ABORTED"
"admin","GET","http://localhost:3001/plumber-manager/plumbers/10","net::ERR_ABORTED"
"admin","GET","http://localhost:3001/plumber-manager/plumbers/10","net::ERR_ABORTED"
"admin","GET","http://localhost:3001/plumber-manager/plumbers/11","net::ERR_ABORTED"
"admin","GET","http://localhost:3001/plumber-manager/plumbers/10","net::ERR_ABORTED"
"admin","GET","http://localhost:3001/plumber-manager/plumbers/10","net::ERR_ABORTED"
"admin","GET","http://localhost:3001/plumber-manager/plumbers/11","net::ERR_ABORTED"
"admin","GET","http://localhost:3001/plumber-manager/plumbers/10","net::ERR_ABORTED"
"admin","GET","http://localhost:3001/plumber-manager/plumbers/10","net::ERR_ABORTED"
"admin","GET","http://localhost:3001/plumber-manager/plumbers/11","net::ERR_ABORTED"
