"Scope","Endpoint","Milliseconds","Status"
"Warm isolated API; no load test","/api/v1/admin/super/dashboard","15040","0"
"Warm isolated API; no load test","/api/v1/admin/operations/dashboard","1398","403"
"Warm isolated API; no load test","/api/v1/admin/finance/dashboard","354","403"
"Warm isolated API; no load test","/api/v1/admin/support/dashboard","109","403"
"Warm isolated API; no load test","/api/v1/admin/marketing/dashboard","114","403"
"Warm isolated API; no load test","/api/v1/admin/plumber-manager/dashboard","99","403"
"Warm isolated API; no load test","/api/v1/admin/super/dashboard","107","403"
"Warm isolated API; no load test","/api/v1/admin/operations/dashboard","91","403"
"Warm isolated API; no load test","/api/v1/admin/finance/dashboard","124","403"
"Warm isolated API; no load test","/api/v1/admin/support/dashboard","96","403"
"Warm isolated API; no load test","/api/v1/admin/marketing/dashboard","149","403"
"Warm isolated API; no load test","/api/v1/admin/plumber-manager/dashboard","155","403"
"Warm isolated API; no load test","/api/v1/admin/super/dashboard","488","403"
"Warm isolated API; no load test","/api/v1/admin/operations/dashboard","384","403"
"Warm isolated API; no load test","/api/v1/admin/finance/dashboard","322","403"
"Warm isolated API; no load test","/api/v1/admin/support/dashboard","185","403"
"Warm isolated API; no load test","/api/v1/admin/marketing/dashboard","313","403"
"Warm isolated API; no load test","/api/v1/admin/plumber-manager/dashboard","79","403"
"Warm isolated API; no load test","/api/v1/admin/super/dashboard","331","200"
"Warm isolated API; no load test","/api/v1/admin/operations/dashboard","1184","200"
"Warm isolated API; no load test","/api/v1/admin/super/users","99","403"
"Warm isolated API; no load test","/api/v1/admin/finance/dashboard","542","200"
"Warm isolated API; no load test","/api/v1/admin/super/users","75","403"
"Warm isolated API; no load test","/api/v1/admin/support/dashboard","306","200"
"Warm isolated API; no load test","/api/v1/admin/super/users","117","403"
"Warm isolated API; no load test","/api/v1/admin/plumber-manager/dashboard","385","200"
"Warm isolated API; no load test","/api/v1/admin/super/users","107","403"
"Warm isolated API; no load test","/api/v1/admin/marketing/dashboard","447","200"
"Warm isolated API; no load test","/api/v1/admin/super/users","204","403"
"Warm isolated API; no load test","/api/v1/plumber/dashboard","219","403"
"Warm isolated API; no load test","/api/v1/stores/me","82","403"
"Warm isolated API; no load test","/api/v1/orders/2","119","403"
"Warm isolated API; no load test","/api/v1/orders/2/history","193","403"
"Warm isolated API; no load test","/api/v1/orders/2","123","403"
"Warm isolated API; no load test","/api/v1/orders/2/history","88","403"
"Warm isolated API; no load test","/api/v1/orders/customer/8","216","403"
"Warm isolated API; no load test","/api/v1/stores/1/inventory/1","471","400"
"Warm isolated API; no load test","/api/v1/stores/1/inventory/1","63","400"
"Warm isolated API; no load test","/api/v1/stores/1/inventory/1","61","400"
"Warm isolated API; no load test","/api/v1/orders/2/accept","108","200"
"Warm isolated API; no load test","/api/v1/orders/2/complete","108","409"
"Warm isolated API; no load test","/api/v1/auth/me","36","401"
"Warm isolated API; no load test","/api/v1/auth/login","314","401"
"Warm isolated API; no load test","/api/v1/auth/refresh","146","200"
"Warm isolated API; no load test","/api/v1/auth/refresh","22","401"
"Browser loopback diagnostic","localhost","2765.7999999523163","200"
"Browser loopback diagnostic","127.0.0.1","155.4000000357628","200"
