"app","screen","width","height","scrollWidth","innerWidth","scrollHeight","result","scope"
"customer","public login","360","800","360","360","822","PASS","horizontal overflow only; screenshot saved for review"
"customer","public login","390","844","390","390","844","PASS","horizontal overflow only; screenshot saved for review"
"customer","public login","412","915","412","412","915","PASS","horizontal overflow only; screenshot saved for review"
"customer","public login","768","1024","768","768","1024","PASS","horizontal overflow only; screenshot saved for review"
"customer","public login","1024","768","1024","1024","806","PASS","horizontal overflow only; screenshot saved for review"
"customer","public login","1366","768","1366","1366","806","PASS","horizontal overflow only; screenshot saved for review"
"customer","public login","1440","900","1440","1440","900","PASS","horizontal overflow only; screenshot saved for review"
"customer","public login","1920","1080","1920","1920","1080","PASS","horizontal overflow only; screenshot saved for review"
"plumber","public login","360","800","360","360","800","PASS","horizontal overflow only; screenshot saved for review"
"plumber","public login","390","844","390","390","844","PASS","horizontal overflow only; screenshot saved for review"
"plumber","public login","412","915","412","412","915","PASS","horizontal overflow only; screenshot saved for review"
"plumber","public login","768","1024","768","768","1024","PASS","horizontal overflow only; screenshot saved for review"
"plumber","public login","1024","768","1024","1024","768","PASS","horizontal overflow only; screenshot saved for review"
"plumber","public login","1366","768","1366","1366","768","PASS","horizontal overflow only; screenshot saved for review"
"plumber","public login","1440","900","1440","1440","900","PASS","horizontal overflow only; screenshot saved for review"
"plumber","public login","1920","1080","1920","1920","1080","PASS","horizontal overflow only; screenshot saved for review"
"store","public login","360","800","360","360","800","PASS","horizontal overflow only; screenshot saved for review"
"store","public login","390","844","390","390","844","PASS","horizontal overflow only; screenshot saved for review"
"store","public login","412","915","412","412","915","PASS","horizontal overflow only; screenshot saved for review"
"store","public login","768","1024","768","768","1024","PASS","horizontal overflow only; screenshot saved for review"
"store","public login","1024","768","1024","1024","768","PASS","horizontal overflow only; screenshot saved for review"
"store","public login","1366","768","1366","1366","768","PASS","horizontal overflow only; screenshot saved for review"
"store","public login","1440","900","1440","1440","900","PASS","horizontal overflow only; screenshot saved for review"
"store","public login","1920","1080","1920","1920","1080","PASS","horizontal overflow only; screenshot saved for review"
"admin","public login","360","800","360","360","800","PASS","horizontal overflow only; screenshot saved for review"
"admin","public login","390","844","390","390","844","PASS","horizontal overflow only; screenshot saved for review"
"admin","public login","412","915","412","412","915","PASS","horizontal overflow only; screenshot saved for review"
"admin","public login","768","1024","768","768","1024","PASS","horizontal overflow only; screenshot saved for review"
"admin","public login","1024","768","1024","1024","768","PASS","horizontal overflow only; screenshot saved for review"
"admin","public login","1366","768","1366","1366","768","PASS","horizontal overflow only; screenshot saved for review"
"admin","public login","1440","900","1440","1440","900","PASS","horizontal overflow only; screenshot saved for review"
"admin","public login","1920","1080","1920","1920","1080","PASS","horizontal overflow only; screenshot saved for review"
"plumber","authenticated current screen","360","800","360","360","","PASS","horizontal overflow only; screenshot saved for review"
"plumber","authenticated current screen","390","844","390","390","","PASS","horizontal overflow only; screenshot saved for review"
"plumber","authenticated current screen","412","915","412","412","","PASS","horizontal overflow only; screenshot saved for review"
"plumber","authenticated current screen","768","1024","768","768","","PASS","horizontal overflow only; screenshot saved for review"
"plumber","authenticated current screen","1024","768","1024","1024","","PASS","horizontal overflow only; screenshot saved for review"
"plumber","authenticated current screen","1366","768","1366","1366","","PASS","horizontal overflow only; screenshot saved for review"
"plumber","authenticated current screen","1440","900","1440","1440","","PASS","horizontal overflow only; screenshot saved for review"
"plumber","authenticated current screen","1920","1080","1920","1920","","PASS","horizontal overflow only; screenshot saved for review"
"store","authenticated current screen","360","800","360","360","","PASS","horizontal overflow only; screenshot saved for review"
"store","authenticated current screen","390","844","390","390","","PASS","horizontal overflow only; screenshot saved for review"
"store","authenticated current screen","412","915","412","412","","PASS","horizontal overflow only; screenshot saved for review"
"store","authenticated current screen","768","1024","768","768","","PASS","horizontal overflow only; screenshot saved for review"
"store","authenticated current screen","1024","768","1024","1024","","PASS","horizontal overflow only; screenshot saved for review"
"store","authenticated current screen","1366","768","1366","1366","","PASS","horizontal overflow only; screenshot saved for review"
"store","authenticated current screen","1440","900","1440","1440","","PASS","horizontal overflow only; screenshot saved for review"
"store","authenticated current screen","1920","1080","1920","1920","","PASS","horizontal overflow only; screenshot saved for review"
"admin","authenticated current screen","360","800","360","360","","PASS","horizontal overflow only; screenshot saved for review"
"admin","authenticated current screen","390","844","390","390","","PASS","horizontal overflow only; screenshot saved for review"
"admin","authenticated current screen","412","915","412","412","","PASS","horizontal overflow only; screenshot saved for review"
"admin","authenticated current screen","768","1024","768","768","","PASS","horizontal overflow only; screenshot saved for review"
"admin","authenticated current screen","1024","768","1024","1024","","PASS","horizontal overflow only; screenshot saved for review"
"admin","authenticated current screen","1366","768","1366","1366","","PASS","horizontal overflow only; screenshot saved for review"
"admin","authenticated current screen","1440","900","1440","1440","","PASS","horizontal overflow only; screenshot saved for review"
"admin","authenticated current screen","1920","1080","1920","1920","","PASS","horizontal overflow only; screenshot saved for review"
"plumber","registration-responsive","360","800","360","","","PASS",""
"plumber","registration-responsive","390","844","390","","","PASS",""
"plumber","registration-responsive","412","915","412","","","PASS",""
"plumber","registration-responsive","768","1024","768","","","PASS",""
"plumber","registration-responsive","1024","768","1024","","","PASS",""
"plumber","registration-responsive","1366","768","1366","","","PASS",""
"plumber","registration-responsive","1440","900","1440","","","PASS",""
"plumber","registration-responsive","1920","1080","1920","","","PASS",""
"store","registration-responsive","360","800","360","","","PASS",""
"store","registration-responsive","390","844","390","","","PASS",""
"store","registration-responsive","412","915","412","","","PASS",""
"store","registration-responsive","768","1024","768","","","PASS",""
"store","registration-responsive","1024","768","1024","","","PASS",""
"store","registration-responsive","1366","768","1366","","","PASS",""
"store","registration-responsive","1440","900","1440","","","PASS",""
"store","registration-responsive","1920","1080","1920","","","PASS",""
