"Test ID","Previous Source File","Application","Role","Module","Feature","Scenario","Previous Result","Current Result","Delta","Previous Defect ID","Current Defect ID","Previous Blocker","Current Blocker","Current Evidence","Notes","Priority","ImmediateRetest"
"QA-0341","reports/full-e2e-qa/coverage-cases.csv","Admin","ADMIN FAMILY","SUPER_ADMIN","Post-logout protection","Post-logout protection","BLOCKED","","","","","","","","","1","Y"
"QA-0342","reports/full-e2e-qa/coverage-cases.csv","Admin","ADMIN FAMILY","OPERATIONS_ADMIN","Login","Login","BLOCKED","","","","","","","","","1","Y"
"QA-0343","reports/full-e2e-qa/coverage-cases.csv","Admin","ADMIN FAMILY","OPERATIONS_ADMIN","Landing page","Landing page","BLOCKED","","","","","","","","","1","Y"
"QA-0340","reports/full-e2e-qa/coverage-cases.csv","Admin","ADMIN FAMILY","SUPER_ADMIN","Logout","Logout","BLOCKED","","","","","","","","","1","Y"
"QA-0337","reports/full-e2e-qa/coverage-cases.csv","Admin","ADMIN FAMILY","SUPER_ADMIN","Forbidden API","Forbidden API","BLOCKED","","","","","","","","","1","Y"
"QA-0338","reports/full-e2e-qa/coverage-cases.csv","Admin","ADMIN FAMILY","SUPER_ADMIN","Profile","Profile","BLOCKED","","","","","","","","","1","Y"
"QA-0339","reports/full-e2e-qa/coverage-cases.csv","Admin","ADMIN FAMILY","SUPER_ADMIN","Session restore","Session restore","BLOCKED","","","","","","","","","1","Y"
"QA-0344","reports/full-e2e-qa/coverage-cases.csv","Admin","ADMIN FAMILY","OPERATIONS_ADMIN","Allowed navigation","Allowed navigation","BLOCKED","","","","","","","","","1","Y"
"QA-0349","reports/full-e2e-qa/coverage-cases.csv","Admin","ADMIN FAMILY","OPERATIONS_ADMIN","Session restore","Session restore","BLOCKED","","","","","","","","","1","Y"
"QA-0350","reports/full-e2e-qa/coverage-cases.csv","Admin","ADMIN FAMILY","OPERATIONS_ADMIN","Logout","Logout","BLOCKED","","","","","","","","","1","Y"
"QA-0351","reports/full-e2e-qa/coverage-cases.csv","Admin","ADMIN FAMILY","OPERATIONS_ADMIN","Post-logout protection","Post-logout protection","BLOCKED","","","","","","","","","1","Y"
"QA-0348","reports/full-e2e-qa/coverage-cases.csv","Admin","ADMIN FAMILY","OPERATIONS_ADMIN","Profile","Profile","BLOCKED","","","","","","","","","1","Y"
"QA-0345","reports/full-e2e-qa/coverage-cases.csv","Admin","ADMIN FAMILY","OPERATIONS_ADMIN","Forbidden navigation","Forbidden navigation","BLOCKED","","","","","","","","","1","Y"
"QA-0346","reports/full-e2e-qa/coverage-cases.csv","Admin","ADMIN FAMILY","OPERATIONS_ADMIN","Allowed API","Allowed API","BLOCKED","","","","","","","","","1","Y"
"QA-0347","reports/full-e2e-qa/coverage-cases.csv","Admin","ADMIN FAMILY","OPERATIONS_ADMIN","Forbidden API","Forbidden API","BLOCKED","","","","","","","","","1","Y"
"QA-0336","reports/full-e2e-qa/coverage-cases.csv","Admin","ADMIN FAMILY","SUPER_ADMIN","Allowed API","Allowed API","BLOCKED","","","","","","","","","1","Y"
"QA-0325","reports/full-e2e-qa/coverage-cases.csv","Admin","ADMIN FAMILY","ADMIN","Forbidden navigation","Forbidden navigation","BLOCKED","","","","","","","","","1","Y"
"QA-0326","reports/full-e2e-qa/coverage-cases.csv","Admin","ADMIN FAMILY","ADMIN","Allowed API","Allowed API","BLOCKED","","","","","","","","","1","Y"
"QA-0327","reports/full-e2e-qa/coverage-cases.csv","Admin","ADMIN FAMILY","ADMIN","Forbidden API","Forbidden API","BLOCKED","","","","","","","","","1","Y"
"QA-0324","reports/full-e2e-qa/coverage-cases.csv","Admin","ADMIN FAMILY","ADMIN","Allowed navigation","Allowed navigation","BLOCKED","","","","","","","","","1","Y"
"QA-0321","reports/full-e2e-qa/coverage-cases.csv","Admin","ADMIN FAMILY","Modules","Audit information","Audit information","BLOCKED","","","","","","","","","1","Y"
"QA-0322","reports/full-e2e-qa/coverage-cases.csv","Admin","ADMIN FAMILY","ADMIN","Login","Login","BLOCKED","","","","","","","","","1","Y"
"QA-0323","reports/full-e2e-qa/coverage-cases.csv","Admin","ADMIN FAMILY","ADMIN","Landing page","Landing page","BLOCKED","","","","","","","","","1","Y"
"QA-0328","reports/full-e2e-qa/coverage-cases.csv","Admin","ADMIN FAMILY","ADMIN","Profile","Profile","BLOCKED","","","","","","","","","1","Y"
"QA-0333","reports/full-e2e-qa/coverage-cases.csv","Admin","ADMIN FAMILY","SUPER_ADMIN","Landing page","Landing page","BLOCKED","","","","","","","","","1","Y"
"QA-0334","reports/full-e2e-qa/coverage-cases.csv","Admin","ADMIN FAMILY","SUPER_ADMIN","Allowed navigation","Allowed navigation","BLOCKED","","","","","","","","","1","Y"
