"TestID","PreviousSource","Application","Role","Module","Feature","Scenario","PreviousResult","CurrentResult","Delta","ExecutionEnvironment","PreviousDefect","CurrentDefect","PreviousBlocker","CurrentBlocker","Evidence","Notes"
"QA-0001","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Authentication","Successful login","Successful login","BLOCKED","FAIL","BLOCKED -> FAIL","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","LOCAL-CUSTOMER-OTP-001","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","","logs/customer-local-env-recheck-continuation.json","Actual ten-digit QA phone fails backend +91-space format validation."
"QA-0002","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Authentication","Session restore","Session restore","BLOCKED","BLOCKED","BLOCKED -> BLOCKED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","LOCAL-CUSTOMER-OTP-001","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","No real Customer browser session.","logs/customer-local-env-recheck-continuation.json","No real Customer browser session."
"QA-0003","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Authentication","Refresh authenticated page","Refresh authenticated page","BLOCKED","BLOCKED","BLOCKED -> BLOCKED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","LOCAL-CUSTOMER-OTP-001","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","No real Customer browser session.","logs/customer-local-env-recheck-continuation.json","No real Customer browser session."
"QA-0004","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Authentication","Logout","Logout","BLOCKED","BLOCKED","BLOCKED -> BLOCKED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","LOCAL-CUSTOMER-OTP-001","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","No real Customer browser session.","logs/customer-local-env-recheck-continuation.json","No real Customer browser session."
"QA-0005","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Authentication","Protected route after logout","Protected route after logout","BLOCKED","BLOCKED","BLOCKED -> BLOCKED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","LOCAL-CUSTOMER-OTP-001","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","No real Customer browser session.","logs/customer-local-env-recheck-continuation.json","No real Customer browser session."
"QA-0006","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Authentication","Invalid password messaging from server","Invalid password messaging from server","BLOCKED","N/A","BLOCKED -> N/A","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","","","Current Customer application uses phone OTP with guest entry; historical email/password/registration control is absent."
"QA-0007","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Authentication","Duplicate login server handling","Duplicate login server handling","BLOCKED","N/A","BLOCKED -> N/A","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","","","Current Customer application uses phone OTP with guest entry; historical email/password/registration control is absent."
"QA-0008","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Authentication","New authenticated tab","New authenticated tab","BLOCKED","BLOCKED","BLOCKED -> BLOCKED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","LOCAL-CUSTOMER-OTP-001","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","No real Customer browser session.","logs/customer-local-env-recheck-continuation.json","No real Customer browser session."
"QA-0009","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Authentication","Login with spaced email","Login with spaced email","BLOCKED","N/A","BLOCKED -> N/A","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","","","Current Customer application uses phone OTP with guest entry; historical email/password/registration control is absent."
"QA-0010","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Authentication","Expired session","Expired session","BLOCKED","BLOCKED","BLOCKED -> BLOCKED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","LOCAL-CUSTOMER-OTP-001","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","No real Customer browser session.","logs/customer-local-env-recheck-continuation.json","No real Customer browser session."
"QA-0011","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Authentication","Skip onboarding reaches login","Skip onboarding reaches login","PASS","N/A","PASS -> N/A","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","","","","Current Customer application uses phone OTP with guest entry; historical email/password/registration control is absent."
"QA-0012","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Authentication","Next opens second onboarding screen","Next opens second onboarding screen","PASS","N/A","PASS -> N/A","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","","","","Current Customer application uses phone OTP with guest entry; historical email/password/registration control is absent."
"QA-0013","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Authentication","Empty login click shows validation","Empty login click shows validation","PASS","N/A","PASS -> N/A","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","","","","Current Customer application uses phone OTP with guest entry; historical email/password/registration control is absent."
"QA-0014","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Authentication","Empty login Space shows validation","Empty login Space shows validation","PASS","N/A","PASS -> N/A","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","","","","Current Customer application uses phone OTP with guest entry; historical email/password/registration control is absent."
"QA-0015","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Authentication","Registration entry","Registration entry","PASS","N/A","PASS -> N/A","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","","","","Current Customer application uses phone OTP with guest entry; historical email/password/registration control is absent."
"QA-0016","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Authentication","Registration return link","Registration return link","PASS","N/A","PASS -> N/A","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","","","","Current Customer application uses phone OTP with guest entry; historical email/password/registration control is absent."
"QA-0017","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Authentication","Registration back arrow","Registration back arrow","PASS","N/A","PASS -> N/A","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","","","","Current Customer application uses phone OTP with guest entry; historical email/password/registration control is absent."
"QA-0018","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Authentication","Required full name validation","Required full name validation","PASS","N/A","PASS -> N/A","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","","","","Current Customer application uses phone OTP with guest entry; historical email/password/registration control is absent."
"QA-0019","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Authentication","Required email validation","Required email validation","PASS","N/A","PASS -> N/A","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","","","","Current Customer application uses phone OTP with guest entry; historical email/password/registration control is absent."
"QA-0020","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Authentication","Malformed registration email validation","Malformed registration email validation","PASS","N/A","PASS -> N/A","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","","","","Current Customer application uses phone OTP with guest entry; historical email/password/registration control is absent."
"QA-0021","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Authentication","Invalid registration phone validation","Invalid registration phone validation","PASS","N/A","PASS -> N/A","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","","","","Current Customer application uses phone OTP with guest entry; historical email/password/registration control is absent."
"QA-0022","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Authentication","Offline login shows Network Error without authenticated state","Offline login shows Network Error without authenticated state","PASS","N/A","PASS -> N/A","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","","","","Current Customer application uses phone OTP with guest entry; historical email/password/registration control is absent."
