"id","role","method","url","status","expected","result","ms"
"RBAC-CUSTOMER-super","CUSTOMER","GET","/api/v1/admin/super/dashboard","0","4xx","FAIL","15040"
"RBAC-CUSTOMER-operations","CUSTOMER","GET","/api/v1/admin/operations/dashboard","403","4xx","PASS","1398"
"RBAC-CUSTOMER-finance","CUSTOMER","GET","/api/v1/admin/finance/dashboard","403","4xx","PASS","354"
"RBAC-CUSTOMER-support","CUSTOMER","GET","/api/v1/admin/support/dashboard","403","4xx","PASS","109"
"RBAC-CUSTOMER-marketing","CUSTOMER","GET","/api/v1/admin/marketing/dashboard","403","4xx","PASS","114"
"RBAC-CUSTOMER-plumber-manager","CUSTOMER","GET","/api/v1/admin/plumber-manager/dashboard","403","4xx","PASS","99"
"RBAC-PLUMBER-super","PLUMBER","GET","/api/v1/admin/super/dashboard","403","4xx","PASS","107"
"RBAC-PLUMBER-operations","PLUMBER","GET","/api/v1/admin/operations/dashboard","403","4xx","PASS","91"
"RBAC-PLUMBER-finance","PLUMBER","GET","/api/v1/admin/finance/dashboard","403","4xx","PASS","124"
"RBAC-PLUMBER-support","PLUMBER","GET","/api/v1/admin/support/dashboard","403","4xx","PASS","96"
"RBAC-PLUMBER-marketing","PLUMBER","GET","/api/v1/admin/marketing/dashboard","403","4xx","PASS","149"
"RBAC-PLUMBER-plumber-manager","PLUMBER","GET","/api/v1/admin/plumber-manager/dashboard","403","4xx","PASS","155"
"RBAC-STORE_MANAGER-super","STORE_MANAGER","GET","/api/v1/admin/super/dashboard","403","4xx","PASS","488"
"RBAC-STORE_MANAGER-operations","STORE_MANAGER","GET","/api/v1/admin/operations/dashboard","403","4xx","PASS","384"
"RBAC-STORE_MANAGER-finance","STORE_MANAGER","GET","/api/v1/admin/finance/dashboard","403","4xx","PASS","322"
"RBAC-STORE_MANAGER-support","STORE_MANAGER","GET","/api/v1/admin/support/dashboard","403","4xx","PASS","185"
"RBAC-STORE_MANAGER-marketing","STORE_MANAGER","GET","/api/v1/admin/marketing/dashboard","403","4xx","PASS","313"
"RBAC-STORE_MANAGER-plumber-manager","STORE_MANAGER","GET","/api/v1/admin/plumber-manager/dashboard","403","4xx","PASS","79"
"ADMIN-OWN-SUPER_ADMIN","SUPER_ADMIN","GET","/api/v1/admin/super/dashboard","200","2xx","PASS","331"
"ADMIN-OWN-OPERATIONS_ADMIN","OPERATIONS_ADMIN","GET","/api/v1/admin/operations/dashboard","200","2xx","PASS","1184"
"ADMIN-DENY-SUPER-OPERATIONS_ADMIN","OPERATIONS_ADMIN","GET","/api/v1/admin/super/users","403","4xx","PASS","99"
"ADMIN-OWN-FINANCE_ADMIN","FINANCE_ADMIN","GET","/api/v1/admin/finance/dashboard","200","2xx","PASS","542"
"ADMIN-DENY-SUPER-FINANCE_ADMIN","FINANCE_ADMIN","GET","/api/v1/admin/super/users","403","4xx","PASS","75"
"ADMIN-OWN-SUPPORT_ADMIN","SUPPORT_ADMIN","GET","/api/v1/admin/support/dashboard","200","2xx","PASS","306"
"ADMIN-DENY-SUPER-SUPPORT_ADMIN","SUPPORT_ADMIN","GET","/api/v1/admin/super/users","403","4xx","PASS","117"
"ADMIN-OWN-PLUMBER_MANAGER","PLUMBER_MANAGER","GET","/api/v1/admin/plumber-manager/dashboard","200","2xx","PASS","385"
"ADMIN-DENY-SUPER-PLUMBER_MANAGER","PLUMBER_MANAGER","GET","/api/v1/admin/super/users","403","4xx","PASS","107"
"ADMIN-OWN-MARKETING_ADMIN","MARKETING_ADMIN","GET","/api/v1/admin/marketing/dashboard","200","2xx","PASS","447"
"ADMIN-DENY-SUPER-MARKETING_ADMIN","MARKETING_ADMIN","GET","/api/v1/admin/super/users","403","4xx","PASS","204"
"CUSTOMER-DENY-PLUMBER","CUSTOMER","GET","/api/v1/plumber/dashboard","403","4xx","PASS","219"
"CUSTOMER-DENY-STORE","CUSTOMER","GET","/api/v1/stores/me","403","4xx","PASS","82"
"IDOR-ORDER-CUSTOMER2","CUSTOMER2","GET","/api/v1/orders/2","403","4xx","PASS","119"
"IDOR-HISTORY-CUSTOMER2","CUSTOMER2","GET","/api/v1/orders/2/history","403","4xx","PASS","193"
"IDOR-ORDER-PLUMBER2","PLUMBER2","GET","/api/v1/orders/2","403","4xx","PASS","123"
"IDOR-HISTORY-PLUMBER2","PLUMBER2","GET","/api/v1/orders/2/history","403","4xx","PASS","88"
"IDOR-CUSTOMER-LIST","CUSTOMER2","GET","/api/v1/orders/customer/8","403","4xx","PASS","216"
"UNAUTHORIZED-STOCK-CUSTOMER","CUSTOMER","PUT","/api/v1/stores/1/inventory/1","400","4xx","PASS","471"
"UNAUTHORIZED-STOCK-PLUMBER","PLUMBER","PUT","/api/v1/stores/1/inventory/1","400","4xx","PASS","63"
"NEGATIVE-STOCK","STORE_MANAGER","PUT","/api/v1/stores/1/inventory/1","400","4xx","PASS","61"
"DUPLICATE-ACCEPT","PLUMBER","POST","/api/v1/orders/2/accept","200","4xx","FAIL","108"
"PREMATURE-COMPLETE","PLUMBER","POST","/api/v1/orders/2/complete","409","4xx","PASS","108"
"AUTH-MISSING","","GET","/api/v1/auth/me","401","4xx","PASS","36"
"AUTH-INVALID-PASSWORD","","POST","/api/v1/auth/login","401","4xx","PASS","314"
"REFRESH-ROTATION","","POST","/api/v1/auth/refresh","200","2xx","PASS","146"
"REFRESH-REUSE","","POST","/api/v1/auth/refresh","401","4xx","PASS","22"
